Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Opioid Court Cases,Opioid Court Cases Description,Total Cases,Total Cases Description,Rate of Opioid Court Cases,Percentage of Opioid Court Cases,Percentage of Opioid Court Cases Description,Type of Rate,County_Code_Number,County_Code_Text,State_FIPS_Code,County_FIPS_Code,Latitude,Longitude,Georeferenced Latitude & Longitude
County,Adams,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,5,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1259,Total number of annual court cases,3.97,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",1,01,42,001,39.8720956503,-77.2222427076,POINT (-77.2222427076 39.8720956503)
County,Indiana,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,14,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,32,32,42,063,40.6529549748,-79.0933349286,POINT (-79.0933349286 40.6529549748)
County,Lawrence,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,3,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,37,37,42,073,40.9932503514,-80.3375411446,POINT (-80.3375411446 40.9932503514)
County,Fayette,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,26,26,42,051,39.919447803,-79.6518963464,POINT (-79.6518963464 39.919447803)
State,Commonwealth,All,45 to 49 years,2017,2017 Q3,7/1/2017-9/30/2017,46,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,865,Total opioid court cases where age is known,,5.3,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lebanon,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,56,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1840,Total number of annual court cases,30.43,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",38,38,42,075,40.3675970024,-76.4618257486,POINT (-76.4618257486 40.3675970024)
County,Adams,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,1,01,42,001,39.8720956503,-77.2222427076,POINT (-77.2222427076 39.8720956503)
County,Jefferson,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,6,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,670,Total number of annual court cases,8.96,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",33,33,42,065,41.1313909115,-79.0010181419,POINT (-79.0010181419 41.1313909115)
County,Montgomery,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,24,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,46,46,42,091,40.209898739,-75.3725200072,POINT (-75.3725200072 40.209898739)
County,Washington,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,15,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,63,63,42,125,40.1910966345,-80.2518008276,POINT (-80.2518008276 40.1910966345)
County,Northampton,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,16,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,48,48,42,095,40.754595404,-75.3126372576,POINT (-75.3126372576 40.754595404)
County,Berks,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,33,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,6,06,42,011,40.4193963513,-75.9307732705,POINT (-75.93077327050001 40.4193963513)
State,Commonwealth,All,25 to 29 years,2017,2017 Q1,1/1/2017-3/31/2017,242,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,987,Total opioid court cases where age is known,,24.5,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Potter,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,53,53,42,105,41.7442064382,-77.8987922939,POINT (-77.8987922939 41.7442064382)
State,Commonwealth,All,18 to 19 years,2018,2018 Annual,1/1/2018-12/31/2018,106,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2729,Total opioid court cases where age is known,,3.9,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,McKean,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,489,Total number of annual court cases,4.09,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",42,42,42,083,41.810370736,-78.5712201998,POINT (-78.57122019980001 41.810370736)
County,Berks,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,56,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,4721,Total number of annual court cases,11.86,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",6,06,42,011,40.4193963513,-75.9307732705,POINT (-75.93077327050001 40.4193963513)
County,Elk,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,24,24,42,047,41.4281941606,-78.6494771322,POINT (-78.6494771322 41.4281941606)
County,Mercer,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,43,43,42,085,41.302377765,-80.2600941079,POINT (-80.26009410790002 41.302377765)
State,Commonwealth,Male,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,3028,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,3589,Total opioid court cases where gender is known,,84.4,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Venango,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,12,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,705,Total number of annual court cases,17.02,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",61,61,42,121,41.4034125863,-79.7628656104,POINT (-79.7628656104 41.4034125863)
County,Franklin,All,All (18+ years),2018,2018 Q3,7/1/2018-9/30/2018,8,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,28,28,42,055,39.9278619704,-77.7239884483,POINT (-77.7239884483 39.9278619704)
County,Potter,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,53,53,42,105,41.7442064382,-77.8987922939,POINT (-77.8987922939 41.7442064382)
State,Commonwealth,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,989,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Armstrong,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,3,03,42,005,40.8150952555,-79.4731689893,POINT (-79.4731689893 40.8150952555)
County,McKean,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,42,42,42,083,41.810370736,-78.5712201998,POINT (-78.57122019980001 41.810370736)
County,Bucks,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,9,09,42,017,40.335011331,-75.1129124111,POINT (-75.1129124111 40.335011331)
State,Commonwealth,All,45 to 49 years,2016,2016 Q2,4/1/2016-6/30/2016,64,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1034,Total opioid court cases where age is known,,6.2,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Lebanon,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,26,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1901,Total number of annual court cases,13.68,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",38,38,42,075,40.3675970024,-76.4618257486,POINT (-76.4618257486 40.3675970024)
State,Commonwealth,Female,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,110,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,799,Total opioid court cases where gender is known,,13.8,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Indiana,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,27,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1292,Total number of annual court cases,20.9,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",32,32,42,063,40.6529549748,-79.0933349286,POINT (-79.0933349286 40.6529549748)
County,McKean,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,42,42,42,083,41.810370736,-78.5712201998,POINT (-78.57122019980001 41.810370736)
County,Montour,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,47,47,42,093,41.0280182438,-76.6647052668,POINT (-76.6647052668 41.0280182438)
County,Butler,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,11,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,10,10,42,019,40.9108318483,-79.9171177889,POINT (-79.9171177889 40.9108318483)
County,Carbon,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,5,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,13,13,42,025,40.9193670081,-75.7110703866,POINT (-75.7110703866 40.9193670081)
County,Wyoming,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,7,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,468,Total number of annual court cases,14.96,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",66,66,42,131,41.5189248803,-76.0181300338,POINT (-76.0181300338 41.5189248803)
State,Commonwealth,All,25 to 29 years,2018,2018 Q3,7/1/2018-9/30/2018,149,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,615,Total opioid court cases where age is known,,24.2,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Elk,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,5,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,24,24,42,047,41.4281941606,-78.6494771322,POINT (-78.6494771322 41.4281941606)
County,Warren,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,62,62,42,123,41.8167523652,-79.278581578,POINT (-79.278581578 41.8167523652)
County,Potter,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,53,53,42,105,41.7442064382,-77.8987922939,POINT (-77.8987922939 41.7442064382)
County,Monroe,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,45,45,42,089,41.0609178653,-75.3408360302,POINT (-75.3408360302 41.0609178653)
County,Westmoreland,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,21,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,65,65,42,129,40.3103149985,-79.471341176,POINT (-79.471341176 40.3103149985)
County,Montgomery,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,17,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,46,46,42,091,40.209898739,-75.3725200072,POINT (-75.3725200072 40.209898739)
County,Columbia,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,5,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,19,19,42,037,41.0491208559,-76.4100217975,POINT (-76.4100217975 41.0491208559)
County,Chester,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,15,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,15,15,42,029,39.9748705566,-75.7562649818,POINT (-75.7562649818 39.9748705566)
County,Montgomery,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,39,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,46,46,42,091,40.209898739,-75.3725200072,POINT (-75.3725200072 40.209898739)
County,Elk,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,3,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,24,24,42,047,41.4281941606,-78.6494771322,POINT (-78.6494771322 41.4281941606)
County,Clearfield,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,17,17,42,033,41.0004290024,-78.4755834299,POINT (-78.4755834299 41.0004290024)
County,Luzerne,All,All (18+ years),2016,2016 Q2,4/1/2016-6/30/2016,29,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,40,40,42,079,41.1783643884,-75.991996098,POINT (-75.991996098 41.178364388400006)
County,Wayne,All,All (18+ years),2018,2018 Q1,1/1/2018-3/31/2018,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,64,64,42,127,41.6496980525,-75.3051535022,POINT (-75.3051535022 41.6496980525)
State,Commonwealth,All,45 to 49 years,2018,2018 Q2,4/1/2018-6/30/2018,25,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,738,Total opioid court cases where age is known,,3.4,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,McKean,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,42,42,42,083,41.810370736,-78.5712201998,POINT (-78.57122019980001 41.810370736)
State,Commonwealth,All,30 to 34 years,2017,2017 Q2,4/1/2017-6/30/2017,179,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,935,Total opioid court cases where age is known,,19.1,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,York,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,151,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,7106,Total number of annual court cases,21.25,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",67,67,42,133,39.9219253124,-76.7257605231,POINT (-76.7257605231 39.9219253124)
County,Perry,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,3,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,50,50,42,099,40.4041531744,-77.2590738496,POINT (-77.2590738496 40.4041531744)
County,Westmoreland,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,23,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,65,65,42,129,40.3103149985,-79.471341176,POINT (-79.471341176 40.3103149985)
County,Schuylkill,All,All (18+ years),2016,2016 Q4,10/1/2016-12/31/2016,8,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,54,54,42,107,40.707512431,-76.223323851,POINT (-76.223323851 40.707512431000005)
County,Allegheny,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,65,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,2,02,42,003,40.4673554298,-79.9861984282,POINT (-79.9861984282 40.4673554298)
County,Luzerne,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,36,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,40,40,42,079,41.1783643884,-75.991996098,POINT (-75.991996098 41.178364388400006)
State,Commonwealth,All,56+ years,2018,2018 Q1,1/1/2018-3/31/2018,17,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,800,Total opioid court cases where age is known,,2.1,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Bedford,All,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,5,05,42,009,40.0073753643,-78.4911647381,POINT (-78.4911647381 40.0073753643)
County,Bucks,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,9,09,42,017,40.335011331,-75.1129124111,POINT (-75.1129124111 40.335011331)
County,Washington,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,38,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2517,Total number of annual court cases,15.1,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",63,63,42,125,40.1910966345,-80.2518008276,POINT (-80.2518008276 40.1910966345)
County,Greene,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,2,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,30,30,42,059,39.8548039342,-80.2294381655,POINT (-80.2294381655 39.8548039342)
County,Lebanon,All,All (18+ years),2017,2017 Q3,7/1/2017-9/30/2017,10,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,38,38,42,075,40.3675970024,-76.4618257486,POINT (-76.4618257486 40.3675970024)
County,Northampton,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,8,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,48,48,42,095,40.754595404,-75.3126372576,POINT (-75.3126372576 40.754595404)
County,McKean,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,42,42,42,083,41.810370736,-78.5712201998,POINT (-78.57122019980001 41.810370736)
State,Commonwealth,All,45 to 49 years,2016,2016 Annual,1/1/2016-12/31/2016,235,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,4059,Total opioid court cases where age is known,,5.8,Percent of total opioid cases for the time period,Rates by age are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Fulton,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,3,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,194,Total number of annual court cases,15.46,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",29,29,42,057,39.9248751086,-78.1148504535,POINT (-78.1148504535 39.9248751086)
County,Cumberland,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,10,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,21,21,42,041,40.167598388,-77.268662705,POINT (-77.268662705 40.167598388)
County,Centre,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,14,14,42,027,40.9193135008,-77.8250011212,POINT (-77.8250011212 40.9193135008)
County,Columbia,All,All (18+ years),2016,2016 Annual,1/1/2016-12/31/2016,22,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,1052,Total number of annual court cases,20.91,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",19,19,42,037,41.0491208559,-76.4100217975,POINT (-76.4100217975 41.0491208559)
State,Commonwealth,Male,All (18+ years),2017,2017 Q2,4/1/2017-6/30/2017,810,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,939,Total opioid court cases where gender is known,,86.3,Percent of total opioid cases for the time period,Rates by gender are not available,0,00,42,000,39.346129,-75.167756,POINT (-75.167756 39.346129)
County,Butler,All,All (18+ years),2018,2018 Annual,1/1/2018-12/31/2018,50,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2552,Total number of annual court cases,19.59,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",10,10,42,019,40.9108318483,-79.9171177889,POINT (-79.9171177889 40.9108318483)
County,Berks,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,36,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,6,06,42,011,40.4193963513,-75.9307732705,POINT (-75.93077327050001 40.4193963513)
County,Montgomery,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,118,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,8713,Total number of annual court cases,13.54,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",46,46,42,091,40.209898739,-75.3725200072,POINT (-75.3725200072 40.209898739)
County,Lackawanna,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,12,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,35,35,42,069,41.4391006428,-75.6121834524,POINT (-75.6121834524 41.4391006428)
County,Elk,All,All (18+ years),2017,2017 Q1,1/1/2017-3/31/2017,4,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,24,24,42,047,41.4281941606,-78.6494771322,POINT (-78.6494771322 41.4281941606)
County,Montgomery,All,All (18+ years),2017,2017 Q4,10/1/2017-12/31/2017,38,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,46,46,42,091,40.209898739,-75.3725200072,POINT (-75.3725200072 40.209898739)
County,Washington,All,All (18+ years),2016,2016 Q1,1/1/2016-3/31/2016,12,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,63,63,42,125,40.1910966345,-80.2518008276,POINT (-80.2518008276 40.1910966345)
County,Fayette,All,All (18+ years),2016,2016 Q3,7/1/2016-9/30/2016,9,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,26,26,42,051,39.919447803,-79.6518963464,POINT (-79.6518963464 39.919447803)
County,Washington,All,All (18+ years),2018,2018 Q4,10/1/2018-12/31/2018,10,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,63,63,42,125,40.1910966345,-80.2518008276,POINT (-80.2518008276 40.1910966345)
County,Columbia,All,All (18+ years),2018,2018 Q2,4/1/2018-6/30/2018,1,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,,Total court cases are not available,,,Percent of total opioid cases are not available,Quarterly rates are not available,19,19,42,037,41.0491208559,-76.4100217975,POINT (-76.4100217975 41.0491208559)
County,Cambria,All,All (18+ years),2017,2017 Annual,1/1/2017-12/31/2017,82,Number of court cases with offense code 35 P.S. § 780-113(a)(30) and a specified opioid drug,2080,Total number of annual court cases,39.42,,Percent of total opioid court cases not available,"Rate of opioid court cases per 1,000 total court cases",11,11,42,021,40.4912749067,-78.7189417385,POINT (-78.7189417385 40.4912749067)
