County Name,Quarterly Rate,Overdose Type,Type of Rate,Time Measure,Time Period,Year,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude,Longitude,Georeferenced Latitude & Longitude
Franklin,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q1,2018,01/01/2018,Not displayed when count is between 1 and 4.,28,28,42,55,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Butler,49.85,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Northumberland,7.14,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,49,49,42,97,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Warren,6.05,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,62,62,42,123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Lebanon,2.34,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2020 Q1,2020,01/01/2020,,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Butler,10.45,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Lebanon,11.75,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q3,2019,07/01/2019,,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Franklin,66.19,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,28,28,42,55,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Philadelphia,24.46,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Lycoming,51.66,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Jefferson,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q1,2017,01/01/2017,Not displayed when count is between 1 and 4.,33,33,42,65,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Juniata,3.24,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Dauphin,13.09,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Bedford,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,Not displayed when count is between 1 and 4.,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
York,7.63,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Clearfield,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,Not displayed when count is between 1 and 4.,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Westmoreland,2.51,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,65,65,42,129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Bedford,1.04,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Juniata,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q1,2018,01/01/2018,No Emergency Department Identified in County.,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Berks,11.08,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Luzerne,80.85,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Pennsylvania,1.25,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Luzerne,86.06,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Bedford,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,Not displayed when count is between 1 and 4.,5,5,42,9,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Crawford,10.71,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,,20,20,42,39,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
York,1.03,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,67,67,42,133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Carbon,3.92,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Pennsylvania,11.68,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Lycoming,0.44,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Philadelphia,2.28,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Clarion,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q2,2019,04/01/2019,Not displayed when count is between 1 and 4.,16,16,42,31,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Mercer,17.81,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Montour,42.21,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Montgomery,0.48,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Lebanon,1.56,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q4,2019,10/01/2019,,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Elk,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q4,2019,10/01/2019,Not displayed when count is between 1 and 4.,24,24,42,47,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Greene,40.94,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Juniata,0,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q3,2019,07/01/2019,,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Monroe,9.45,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q3,2019,07/01/2019,,45,45,42,89,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Schuylkill,5.41,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,Less than 100% of Emergency Departments in the County are Under Surveillance.,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Venango,68.5,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Union,9.22,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Venango,29.68,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Huntingdon,0,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,31,31,42,61,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Juniata,,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q3,2019,07/01/2019,No Emergency Department Identified in County.,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Northampton,1.29,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,48,48,42,95,40.7545954,-75.31263726,POINT (-75.31263726 40.7545954)
Juniata,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q2,2017,04/01/2017,Not displayed when count is between 1 and 4.,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Lebanon,9.91,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Venango,2.13,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,61,61,42,121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Mercer,13.27,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,43,43,42,85,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Perry,1.08,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Dauphin,1.89,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Luzerne,13.33,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Greene,0,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,30,30,42,59,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Forest,0,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Clearfield,39.18,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Cumberland,1.47,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q4,2019,10/01/2019,,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Lawrence,97.44,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,37,37,42,73,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Crawford,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,Not displayed when count is between 1 and 4.,20,20,42,39,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
McKean,41.14,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,42,42,42,83,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Perry,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,No Emergency Department Identified in County.,50,50,42,99,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Luzerne,13.48,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,,40,40,42,79,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Cambria,2.58,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Philadelphia,27.3,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,1 additional facility began reporting in Q3 2018.,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Armstrong,40.95,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Bucks,1.1,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Armstrong,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q2,2018,04/01/2018,Not displayed when count is between 1 and 4.,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Montgomery,12.35,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Somerset,0.81,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,56,56,42,111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Chester,91.34,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance. 2 additional facilities began reporting in Q3 2018.,15,15,42,29,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Forest,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,No Emergency Department Identified in County.,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Franklin,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,Not displayed when count is between 1 and 4.,28,28,42,55,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Allegheny,7.94,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,2,2,42,3,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Crawford,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,Not displayed when count is between 1 and 4.,20,20,42,39,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Washington,6.27,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q4,2019,10/01/2019,,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Delaware,25.06,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Wyoming,41.44,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,,66,66,42,131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Juniata,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q4,2018,10/01/2018,Not displayed when count is between 1 and 4.,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Cumberland,6.01,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,21,21,42,41,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Clarion,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,Not displayed when count is between 1 and 4.,16,16,42,31,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Berks,0.64,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Clearfield,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q4,2019,10/01/2019,Not displayed when count is between 1 and 4.,17,17,42,33,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Bucks,14.3,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Mifflin,0,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,44,44,42,87,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Carbon,30.94,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Lebanon,1.06,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,38,38,42,75,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Lackawanna,2.25,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,35,35,42,69,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Pennsylvania,1.26,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2020 Q1,2020,01/01/2020,,0,0,42,0,39.346129,-75.167756,POINT (-75.167756 39.346129)
Erie,6.03,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Butler,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,Not displayed when count is between 1 and 4.,10,10,42,19,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Bucks,6.69,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2020 Q1,2020,01/01/2020,,9,9,42,17,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Wayne,6.83,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,64,64,42,127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Cambria,5.56,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q1,2017,01/01/2017,,11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Montour,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,Not displayed when count is between 1 and 4.,47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Forest,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2020 Q1,2020,01/01/2020,Not displayed when count is between 1 and 4.,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Washington,2.17,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q3,2019,07/01/2019,,63,63,42,125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Tioga,33.42,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,59,59,42,117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Forest,,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,No Emergency Department Identified in County.,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Schuylkill,8.99,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q3,2016,07/01/2016,,54,54,42,107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Armstrong,0.92,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q3,2019,07/01/2019,,3,3,42,5,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Chester,4.75,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,15,15,42,29,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Westmoreland,79.89,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q1,2019,01/01/2019,,65,65,42,129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Columbia,57.77,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,Less than 100% of Emergency Departments in the County are Under Surveillance.,19,19,42,37,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Fulton,42.83,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,29,29,42,57,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Northampton,13.33,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.,48,48,42,95,40.7545954,-75.31263726,POINT (-75.31263726 40.7545954)
Beaver,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q4,2019,10/01/2019,Not displayed when count is between 1 and 4.,4,4,42,7,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Philadelphia,4.3,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,51,51,42,101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Lycoming,0.62,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,41,41,42,81,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Montgomery,64.73,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,46,46,42,91,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Forest,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,No Emergency Department Identified in County.,27,27,42,53,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Erie,1.64,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,25,25,42,49,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Dauphin,2.94,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,22,22,42,43,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Cambria,33.2,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,11,11,42,21,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Berks,86.43,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q2,2017,04/01/2017,,6,6,42,11,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Delaware,18.15,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q3,2019,07/01/2019,,23,23,42,45,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Carbon,9.5,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,13,13,42,25,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Chester,3.39,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q4,2017,10/01/2017,,15,15,42,29,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Centre,0.31,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,14,14,42,27,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Union,4.47,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,60,60,42,119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Juniata,,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q4,2018,10/01/2018,No Emergency Department Identified in County.,34,34,42,67,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Montour,,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q2,2017,04/01/2017,Not displayed when count is between 1 and 4.,47,47,42,93,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
