Age Group,Gender,County Name,Rate,Type of Rate,Overdose Type,Time Measure,Year,Time Period,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
25-34,All Genders,PENNSYLVANIA,0.36,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,PERRY,0.37,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,No Emergency Department Identified in County. ,50,50,42,099,"(40.4041531744, -77.2590738496)"
All Ages,All Genders,PERRY,,Not Applicable,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,No Emergency Department Identified in County. ,50,50,42,099,"(40.4041531744, -77.2590738496)"
All Ages,All Genders,SUSQUEHANNA,0.3,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,58,58,42,115,"(41.8205685982, -75.8025030296)"
All Ages,All Genders,ARMSTRONG,0.44,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,3,03,42,005,"(40.8150952555, -79.4731689893)"
All Ages,Male,PENNSYLVANIA,0.94,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,FAYETTE,0.97,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,26,26,42,051,"(39.919447803, -79.6518963464)"
All Ages,All Genders,MCKEAN,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,42,42,42,083,"(41.810370736, -78.5712201998)"
All Ages,All Genders,SCHUYLKILL,0.03,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,54,54,42,107,"(40.707512431, -76.223323851)"
All Ages,All Genders,SULLIVAN,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,No Emergency Department Identified in County. ,57,57,42,113,"(41.4480993958, -76.5147922046)"
All Ages,All Genders,VENANGO,0.78,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,61,61,42,121,"(41.4034125863, -79.7628656104)"
All Ages,All Genders,SUSQUEHANNA,,Suppressed/Not Displayed due to count between 1 and 435,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Not displayed when count is between 1 and 4.,58,58,42,115,"(41.8205685982, -75.8025030296)"
All Ages,All Genders,MERCER,0.14,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,43,43,42,085,"(41.302377765, -80.2600941079)"
All Ages,All Genders,WAYNE,,Suppressed/Not Displayed due to count between 1 and 492,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Not displayed when count is between 1 and 4.,64,64,42,127,"(41.6496980525, -75.3051535022)"
All Ages,All Genders,CLINTON,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,18,18,42,035,"(41.2328627374, -77.6428376046)"
All Ages,All Genders,MONROE,0.05,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,45,45,42,089,"(41.0609178653, -75.3408360302)"
All Ages,All Genders,PIKE,,Suppressed/Not Displayed due to count between 1 and 373,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,No Emergency Department Identified in County. Not displayed when count is between 1 and 4.,52,52,42,103,"(41.332571995, -75.0327092448)"
65+,All Genders,PENNSYLVANIA,0.01,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,VENANGO,0.11,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,61,61,42,121,"(41.4034125863, -79.7628656104)"
All Ages,All Genders,NORTHAMPTON,0.09,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,48,48,42,095,"(40.754595404, -75.3126372576)"
All Ages,All Genders,LEHIGH,0.14,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,39,39,42,077,"(40.6146479416, -75.6009948118)"
All Ages,All Genders,ERIE,0.63,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,25,25,42,049,"(41.9941378702, -80.0407591036)"
All Ages,All Genders,MCKEAN,,Suppressed/Not Displayed due to count between 1 and 303,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Not displayed when count is between 1 and 4.,42,42,42,083,"(41.810370736, -78.5712201998)"
All Ages,All Genders,COLUMBIA,,Suppressed/Not Displayed due to count between 1 and 144,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,19,19,42,037,"(41.0491208559, -76.4100217975)"
All Ages,All Genders,YORK,0.2,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,67,67,42,133,"(39.9219253124, -76.7257605231)"
All Ages,All Genders,FAYETTE,0.18,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,26,26,42,051,"(39.919447803, -79.6518963464)"
All Ages,All Genders,FRANKLIN,,Suppressed/Not Displayed due to count between 1 and 193,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Not displayed when count is between 1 and 4.,28,28,42,055,"(39.9278619704, -77.7239884483)"
All Ages,All Genders,HUNTINGDON,0.67,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,31,31,42,061,"(40.4161050032, -77.9827661036)"
All Ages,All Genders,POTTER,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,53,53,42,105,"(41.7442064382, -77.8987922939)"
All Ages,All Genders,TIOGA,0.48,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,59,59,42,117,"(41.7733383358, -77.2578807579)"
All Ages,All Genders,SULLIVAN,0.98,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,No Emergency Department Identified in County. ,57,57,42,113,"(41.4480993958, -76.5147922046)"
All Ages,All Genders,BRADFORD,0.48,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,8,08,42,015,"(41.7911781401, -76.5182562384)"
All Ages,All Genders,TIOGA,0.51,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,59,59,42,117,"(41.7733383358, -77.2578807579)"
15-24,All Genders,PENNSYLVANIA,0.09,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,PIKE,,Suppressed/Not Displayed due to count between 1 and 384,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,No Emergency Department Identified in County. Not displayed when count is between 1 and 4.,52,52,42,103,"(41.332571995, -75.0327092448)"
All Ages,All Genders,JEFFERSON,,Suppressed/Not Displayed due to count between 1 and 276,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,33,33,42,065,"(41.1313909115, -79.0010181419)"
All Ages,All Genders,MONTGOMERY,0.03,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,46,46,42,091,"(40.209898739, -75.3725200072)"
All Ages,All Genders,MCKEAN,0.49,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,42,42,42,083,"(41.810370736, -78.5712201998)"
All Ages,All Genders,DAUPHIN,0.17,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,22,22,42,043,"(40.4197463597, -76.7796056802)"
All Ages,All Genders,DELAWARE,0.3,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,23,23,42,045,"(39.9165786652, -75.4062771212)"
All Ages,All Genders,GREENE,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,DAUPHIN,0.94,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,22,22,42,043,"(40.4197463597, -76.7796056802)"
All Ages,All Genders,CLINTON,,Suppressed/Not Displayed due to count between 1 and 131,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Not displayed when count is between 1 and 4.,18,18,42,035,"(41.2328627374, -77.6428376046)"
All Ages,All Genders,FAYETTE,1,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,26,26,42,051,"(39.919447803, -79.6518963464)"
All Ages,All Genders,SULLIVAN,,Not Applicable,Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,No Emergency Department Identified in County. ,57,57,42,113,"(41.4480993958, -76.5147922046)"
All Ages,All Genders,POTTER,0,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,53,53,42,105,"(41.7442064382, -77.8987922939)"
All Ages,All Genders,UNION,0.13,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,60,60,42,119,"(40.9647313096, -77.0641580308)"
All Ages,All Genders,CRAWFORD,0.15,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,20,20,42,039,"(41.6854690692, -80.1132108295)"
All Ages,All Genders,ADAMS,0.43,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,1,01,42,001,"(39.8720956503, -77.2222427076)"
All Ages,All Genders,INDIANA,,Suppressed/Not Displayed due to count between 1 and 252,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Not displayed when count is between 1 and 4.,32,32,42,063,"(40.6529549748, -79.0933349286)"
All Ages,All Genders,SOMERSET,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,56,56,42,111,"(39.9714629901, -79.0310020611)"
All Ages,All Genders,WARREN,0.35,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,62,62,42,123,"(41.8167523652, -79.278581578)"
All Ages,All Genders,PENNSYLVANIA,0.22,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,ERIE,0.13,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,25,25,42,049,"(41.9941378702, -80.0407591036)"
All Ages,All Genders,COLUMBIA,0.08,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,19,19,42,037,"(41.0491208559, -76.4100217975)"
All Ages,All Genders,ERIE,0.11,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,25,25,42,049,"(41.9941378702, -80.0407591036)"
All Ages,All Genders,DELAWARE,0.54,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,23,23,42,045,"(39.9165786652, -75.4062771212)"
All Ages,All Genders,SOMERSET,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,,56,56,42,111,"(39.9714629901, -79.0310020611)"
All Ages,All Genders,LAWRENCE,0.06,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,37,37,42,073,"(40.9932503514, -80.3375411446)"
All Ages,All Genders,SULLIVAN,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,No Emergency Department Identified in County. ,57,57,42,113,"(41.4480993958, -76.5147922046)"
All Ages,All Genders,JEFFERSON,,Suppressed/Not Displayed due to count between 1 and 266,Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,33,33,42,065,"(41.1313909115, -79.0010181419)"
All Ages,All Genders,LEBANON,0.53,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,38,38,42,075,"(40.3675970024, -76.4618257486)"
25-34,All Genders,PENNSYLVANIA,0.35,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,GREENE,0,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,30,30,42,059,"(39.8548039342, -80.2294381655)"
All Ages,All Genders,BRADFORD,,Suppressed/Not Displayed due to count between 1 and 46,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Not displayed when count is between 1 and 4.,8,08,42,015,"(41.7911781401, -76.5182562384)"
All Ages,All Genders,BLAIR,0.05,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,7,07,42,013,"(40.4855502384, -78.349076871)"
All Ages,All Genders,FOREST,0,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,No Emergency Department Identified in County. ,27,27,42,053,"(41.5135787577, -79.2378099483)"
All Ages,All Genders,CUMBERLAND,0.18,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,21,21,42,041,"(40.167598388, -77.268662705)"
All Ages,All Genders,BUCKS,0.12,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,9,09,42,017,"(40.335011331, -75.1129124111)"
All Ages,All Genders,LEBANON,0.17,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,38,38,42,075,"(40.3675970024, -76.4618257486)"
All Ages,All Genders,FRANKLIN,,Suppressed/Not Displayed due to count between 1 and 205,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Not displayed when count is between 1 and 4.,28,28,42,055,"(39.9278619704, -77.7239884483)"
All Ages,All Genders,ADAMS,,Suppressed/Not Displayed due to count between 1 and 14,Heroin Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Not displayed when count is between 1 and 4.,1,01,42,001,"(39.8720956503, -77.2222427076)"
All Ages,All Genders,LUZERNE,0.93,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,40,40,42,079,"(41.1783643884, -75.991996098)"
15-24,All Genders,PENNSYLVANIA,0.16,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,FULTON,,Suppressed/Not Displayed due to count between 1 and 219,Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Not displayed when count is between 1 and 4.,29,29,42,057,"(39.9248751086, -78.1148504535)"
All Ages,All Genders,CHESTER,,Suppressed/Not Displayed due to count between 1 and 89,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,15,15,42,029,"(39.9748705566, -75.7562649818)"
All Ages,All Genders,PENNSYLVANIA,0.81,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,BEAVER,0.04,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,4,04,42,007,"(40.6834924548, -80.3510735648)"
All Ages,All Genders,YORK,0.15,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,67,67,42,133,"(39.9219253124, -76.7257605231)"
All Ages,All Genders,LANCASTER,1.23,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,36,36,42,071,"(40.0459079619, -76.2513876838)"
All Ages,All Genders,MCKEAN,0.5,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,42,42,42,083,"(41.810370736, -78.5712201998)"
All Ages,All Genders,CRAWFORD,0.13,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,20,20,42,039,"(41.6854690692, -80.1132108295)"
All Ages,All Genders,CENTRE,0.06,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,14,14,42,027,"(40.9193135008, -77.8250011212)"
All Ages,All Genders,LUZERNE,0.45,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,40,40,42,079,"(41.1783643884, -75.991996098)"
All Ages,All Genders,BUTLER,0.7,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,10,10,42,019,"(40.9108318483, -79.9171177889)"
All Ages,All Genders,LANCASTER,1.01,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,36,36,42,071,"(40.0459079619, -76.2513876838)"
All Ages,All Genders,BRADFORD,0.29,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,8,08,42,015,"(41.7911781401, -76.5182562384)"
All Ages,All Genders,ALLEGHENY,0.39,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,2,02,42,003,"(40.4673554298, -79.9861984282)"
All Ages,All Genders,WYOMING,,Suppressed/Not Displayed due to count between 1 and 515,Any Opioid Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,66,66,42,131,"(41.5189248803, -76.0181300338)"
All Ages,All Genders,CAMBRIA,0.39,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,11,11,42,021,"(40.4912749067, -78.7189417385)"
All Ages,All Genders,BEDFORD,0.81,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,5,05,42,009,"(40.0073753643, -78.4911647381)"
All Ages,All Genders,BUTLER,0.48,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,10,10,42,019,"(40.9108318483, -79.9171177889)"
All Ages,All Genders,CLEARFIELD,0.86,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,17,17,42,033,"(41.0004290024, -78.4755834299)"
All Ages,All Genders,CHESTER,0.27,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,15,15,42,029,"(39.9748705566, -75.7562649818)"
All Ages,All Genders,WESTMORELAND,0.52,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,65,65,42,129,"(40.3103149985, -79.471341176)"
All Ages,All Genders,SULLIVAN,,Not Applicable,Heroin Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,No Emergency Department Identified in County. ,57,57,42,113,"(41.4480993958, -76.5147922046)"
All Ages,All Genders,CAMBRIA,0.4,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Heroin Overdose,Quarterly Rates,2016,2016 Q4,10/01/2016,,11,11,42,021,"(40.4912749067, -78.7189417385)"
All Ages,All Genders,MIFFLIN,0.5,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,44,44,42,087,"(40.6127492804, -77.6200308901)"
All Ages,All Genders,BLAIR,0.77,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,7,07,42,013,"(40.4855502384, -78.349076871)"
All Ages,All Genders,COLUMBIA,,Suppressed/Not Displayed due to count between 1 and 149,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,19,19,42,037,"(41.0491208559, -76.4100217975)"
All Ages,All Genders,ADAMS,0.41,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,1,01,42,001,"(39.8720956503, -77.2222427076)"
All Ages,All Genders,LEHIGH,0.68,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,,39,39,42,077,"(40.6146479416, -75.6009948118)"
35-44,All Genders,PENNSYLVANIA,1.25,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,JEFFERSON,,Suppressed/Not Displayed due to count between 1 and 260,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  Not displayed when count is between 1 and 4.,33,33,42,065,"(41.1313909115, -79.0010181419)"
All Ages,All Genders,BEAVER,,Suppressed/Not Displayed due to count between 1 and 26,Any Drug Overdose,Quarterly Rates,2016,2016 Q3,07/01/2016,Not displayed when count is between 1 and 4.,4,04,42,007,"(40.6834924548, -80.3510735648)"
All Ages,All Genders,NORTHUMBERLAND,0.11,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,49,49,42,097,"(40.8515092572, -76.7118842273)"
All Ages,All Genders,BEAVER,0.03,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,,4,04,42,007,"(40.6834924548, -80.3510735648)"
All Ages,All Genders,WYOMING,0.25,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Less than 100% of Emergency Departments in the County are Under Surveillance.  ,66,66,42,131,"(41.5189248803, -76.0181300338)"
All Ages,All Genders,CRAWFORD,0.06,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q3,07/01/2017,,20,20,42,039,"(41.6854690692, -80.1132108295)"
All Ages,All Genders,PENNSYLVANIA,0.13,Percent of Emergency Department Visits Related to Overdose,Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
All Ages,All Genders,WAYNE,0.58,Percent of Emergency Department Visits Related to Overdose,Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,64,64,42,127,"(41.6496980525, -75.3051535022)"
All Ages,All Genders,PIKE,,Suppressed/Not Displayed due to count between 1 and 385,Any Opioid Overdose,Quarterly Rates,2018,2018 Q1,01/01/2018,No Emergency Department Identified in County. Not displayed when count is between 1 and 4.,52,52,42,103,"(41.332571995, -75.0327092448)"
All Ages,All Genders,CLINTON,0,Percent of Emergency Department Visits Related to Overdose,Any Opioid Overdose,Quarterly Rates,2017,2017 Q2,04/01/2017,,18,18,42,035,"(41.2328627374, -77.6428376046)"
All Ages,All Genders,SNYDER,0.12,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,No Emergency Department Identified in County. ,55,55,42,109,"(40.7711373692, -77.0725596804)"
All Ages,All Genders,PIKE,,Not Applicable,Any Opioid Overdose,Quarterly Rates,2017,2017 Q4,10/01/2017,No Emergency Department Identified in County. ,52,52,42,103,"(41.332571995, -75.0327092448)"
All Ages,All Genders,ADAMS,,Suppressed/Not Displayed due to count between 1 and 7,Heroin Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,Not displayed when count is between 1 and 4.,1,01,42,001,"(39.8720956503, -77.2222427076)"
All Ages,All Genders,GREENE,0.48,"Rate of Emergency Department Visits Related to Overdose per 1,000 Population",Any Drug Overdose,Quarterly Rates,2017,2017 Q1,01/01/2017,,30,30,42,059,"(39.8548039342, -80.2294381655)"
